EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,THX,THH,SP_T_DX,SP_T_DH,SP_T_DV,HW_PARAM,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_EVM,VAL_ACLR_L,VAL_ACLR_R,VAL_ACLR_AVG,TEST_LOSS,TEST_NMSE,TEST_EVM,TEST_ACLR_L,TEST_ACLR_R,TEST_ACLR_AVG
52,100,29.97324778,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498471,0.00356051,1063.63531827,0.00032127,0.00028303,-31.354982,-33.49773876,-38.45008382,-36.97757837,-37.71383109,0.00034164,-31.011454,-33.47035550,-39.12890388,-37.41730876,-38.27310632
53,100,30.54746492,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498468,0.00356049,1063.63533807,0.00031463,0.00027670,-31.453562,-33.59784214,-38.59065430,-37.08984509,-37.84024969,0.00033496,-31.097208,-33.57050558,-39.23897945,-37.55084279,-38.39491112
54,100,31.11634411,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498471,0.00356051,1063.63531827,0.00030846,0.00027058,-31.550964,-33.70827508,-38.74750323,-37.21425321,-37.98087822,0.00032793,-31.190283,-33.68731136,-39.36939938,-37.68163838,-38.52551888
55,100,31.67710718,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498467,0.00356048,1063.63534775,0.00030276,0.00026512,-31.63964,-33.80223536,-38.87941453,-37.32057916,-38.09999684,0.00032192,-31.271208,-33.78514073,-39.48456137,-37.78874929,-38.63665533
56,100,32.28122174,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498458,0.00356042,1063.63540672,0.00029689,0.00025964,-31.730812,-33.89742685,-39.03205323,-37.43139228,-38.23172276,0.00031619,-31.349432,-33.87222947,-39.60618683,-37.90042723,-38.75330703
57,100,32.83834705,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498460,0.00356043,1063.63539682,0.00029172,0.00025452,-31.817282,-33.98759549,-39.18171133,-37.54720687,-38.36445910,0.00031066,-31.426653,-33.97062995,-39.71408013,-38.03471620,-38.87439817
58,100,33.35987170,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498461,0.00356044,1063.63538714,0.00028669,0.00024947,-31.904501,-34.09208716,-39.34443803,-37.64935766,-38.49689785,0.00030506,-31.50621,-34.07005396,-39.83543665,-38.11442140,-38.97492903
59,100,33.91116602,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00028189,0.00024488,-31.985353,-34.18669982,-39.48021806,-37.74753309,-38.61387558,0.00029969,-31.584112,-34.16816799,-39.95985522,-38.20661500,-39.08323511
60,100,34.47225595,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498463,0.00356045,1063.63537724,0.00027721,0.00024054,-32.063427,-34.26085932,-39.59566491,-37.85612305,-38.72589398,0.00029492,-31.654465,-34.24497675,-40.06058027,-38.32550835,-39.19304431
61,100,35.00247632,0.00050000,256,3818,200,deltagru,15,0,0,0.00000000,0.00498468,0.00356049,1063.63533807,0.00027269,0.00023616,-32.143116,-34.34471101,-39.71952904,-37.93567715,-38.82760309,0.00029019,-31.724396,-34.32273788,-40.16100903,-38.40060340,-39.28080622
